,0,1,2,3,4,5
0,63.0,34.0,25.0,21.0,2.0,63.0
1,16.0,32.0,16.0,19.0,1.0,32.0
2,18.0,32.0,17.0,20.0,2.0,32.0
3,24.0,32.0,22.0,20.0,2.0,32.0
4,29.0,32.0,25.0,14.0,2.0,32.0
5,21.0,31.0,24.0,18.0,2.0,31.0
6,30.0,32.0,22.0,17.0,3.0,32.0
7,29.0,33.0,17.0,19.0,2.0,33.0
8,29.0,32.0,23.0,13.0,2.0,32.0
9,38.0,32.0,34.0,21.0,4.0,38.0
10,25.0,32.0,25.0,20.0,2.0,32.0
11,29.0,32.0,23.0,17.0,2.0,32.0
12,29.0,32.0,19.0,12.0,1.0,32.0
13,22.0,31.0,17.0,13.0,1.0,31.0
14,27.0,32.0,16.0,17.0,1.0,32.0
15,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
16,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
17,24.0,28.0,19.0,14.0,1.0,28.0
18,24.0,18.6,16.0,14.0,1.0,24.0
19,18.0,16.0,15.0,10.0,1.0,18.0
20,35.0,19.8,18.0,15.0,1.0,35.0
21,54.0,15.4,20.0,16.0,2.0,54.0
22,37.0,18.0,18.0,13.0,2.0,37.0
23,32.0,22.6,30.0,14.0,2.0,32.0
24,29.0,22.2,18.0,9.0,2.0,29.0
25,33.0,28.2,22.0,12.0,2.0,33.0
26,47.0,14.0,24.0,22.0,2.0,47.0
27,32.0,13.0,23.0,18.0,3.0,32.0
28,35.0,12.0,25.0,19.0,2.0,35.0
29,33.0,12.0,21.0,19.0,2.0,33.0
30,31.0,12.0,23.0,20.0,2.0,31.0
31,41.0,16.0,22.0,27.0,3.0,41.0
32,49.0,17.8,23.0,41.0,3.0,49.0
33,53.0,14.2,28.0,34.0,3.0,53.0
34,30.0,21.8,17.0,35.0,2.0,35.0
35,22.0,16.4,15.0,37.0,2.0,37.0
36,25.0,20.0,16.0,26.0,1.0,26.0
37,39.0,6.0,20.0,22.0,2.0,39.0
38,28.0,6.0,19.0,23.0,3.0,28.0
39,41.0,6.0,20.0,22.0,2.0,41.0
40,30.0,4.0,23.0,32.0,3.0,32.0
41,32.0,6.0,23.0,42.0,4.0,42.0
42,35.0,3.0,18.0,40.0,3.0,40.0
43,43.0,4.0,21.0,42.0,3.0,43.0
44,34.0,5.0,32.0,41.0,4.0,41.0
45,27.0,6.0,22.0,40.0,4.0,40.0
46,36.0,7.0,19.0,38.0,3.0,38.0
47,52.0,4.0,30.0,33.0,4.0,52.0
48,68.0,7.0,25.0,30.0,4.0,68.0
49,57.0,4.0,34.0,25.0,2.0,57.0
50,40.0,3.0,31.0,24.0,3.0,40.0
51,51.0,3.0,34.0,46.0,4.0,51.0
52,58.0,15.0,25.0,78.0,5.0,78.0
53,52.0,7.0,27.0,71.0,7.0,71.0
54,62.0,7.0,30.0,67.0,5.0,67.0
55,50.0,6.0,24.0,68.0,3.0,68.0
56,44.0,8.0,25.0,60.0,4.0,60.0
57,30.0,6.0,23.0,44.0,4.0,44.0
58,58.0,6.0,26.0,54.0,4.0,58.0
59,51.0,8.0,26.0,46.0,5.0,51.0
60,56.0,8.0,28.0,56.0,4.0,56.0
61,49.0,5.0,33.0,53.0,4.0,53.0
62,37.0,9.0,25.0,75.0,5.0,75.0
63,51.0,7.0,24.0,53.0,4.0,53.0
64,42.0,8.0,19.0,44.0,3.0,44.0
65,41.0,10.0,22.0,42.0,4.0,42.0
66,25.0,7.0,22.0,84.0,4.0,84.0
67,53.0,12.0,22.0,101.0,6.0,101.0
68,62.0,8.0,28.0,43.0,5.0,62.0
69,56.0,9.0,27.0,63.0,4.0,63.0
70,57.0,6.0,29.0,53.0,4.0,57.0
71,53.0,9.0,24.0,60.0,5.0,60.0
72,62.0,14.0,24.0,48.0,4.0,62.0
